Year,FirmCode,Firms,PRMA,RoA,CAR,TDOF,IEIE,TICE
1,1,State Bank of India,0.84062,94,13.53,15.74904849,0.632764281,0.6950616157
2,1,State Bank of India,0.85569,99,12.45,15.2479229,0.569970396,0.5860091573
3,1,State Bank of India,0.72519,89,11.88,13.74786572,0.5667037243,0.5216080161
4,1,State Bank of India,0.66387,84,12.34,13.91485351,0.5934769948,0.4905594936
5,1,State Bank of India,0.81798,101,12.64,10.96004732,0.6522778345,0.4400213732
6,1,State Bank of India,0.84532,104,14.25,12.80591119,0.6727759279,0.502336335
7,1,State Bank of India,0.70755,88,13.39,12.19296368,0.6665713533,0.4135710138
8,1,State Bank of India,0.55343,71,11.98,14.37129228,0.6003852845,0.4658116955
9,1,State Bank of India,0.66383,88,13.86,12.43159597,0.5935928428,0.4803142253
10,1,State Bank of India,0.68863,91,12.92,12.16317351,0.6295138358,0.4191000578
1,2,Allahabad Bank,1.14419,134,12.52,20.28157216,0.5931060322,1.849107626
2,2,Allahabad Bank,1.01418,133,12.53,17.50945017,0.5718769617,1.449791588
3,2,Allahabad Bank,1.09821,142,13.37,13.32783732,0.581364481,1.28952959
4,2,Allahabad Bank,0.87061,126,12.52,13.29997766,0.6414823915,0.866699621
5,2,Allahabad Bank,0.81954,132,12.04,13.64894225,0.7164012739,0.8670716889
6,2,Allahabad Bank,0.53824,90,13.11,14.520378,0.7068991269,0.7572191561
7,2,Allahabad Bank,0.68639,116,13.62,15.70499037,0.6833030636,0.7443991777
8,2,Allahabad Bank,0.63029,111,12.96,15.50264476,0.6348062135,0.7484891339
9,2,Allahabad Bank,0.69022,102,12.83,15.18979499,0.6674225197,0.8364243877
10,2,Allahabad Bank,0.38602,64,11.03,15.7446906,0.7208944866,0.7949242803
1,3,Andhra Bank,1.27637,172,13.71,15.78871301,0.5913785361,1.09871407
2,3,Andhra Bank,1.14657,159,12.11,14.99782254,0.5315512708,0.8817547937
